"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","10059","8784","1275","33"
"Kollam","12953","12677","276","51"
"Pathanamthitta","7854","7502","352","5"
"Alappuzha","3635","3533","102","10"
"Kottayam","24681","24269","412","0"
"Idukki","3276","3180","96","7"
"Ernakulam","27859","27240","619","40"
"Thrissur","12266","12037","229","40"
"Palakkad","7889","7737","152","22"
"Malappuram","11379","11148","231","13"
"Kozhikode","17358","17047","311","18"
"Wayanad","14062","13927","135","27"
"Kannur","6773","6461","312","37"
"Kasaragod","4044","3755","289","9"
"Total","164088","159297","4791","312"
