"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","14951","14612","339","92"
"Kollam","20893","20561","332","31"
"Pathanamthitta","27692","27448","244","241"
"Alappuzha","4866","4755","111","12"
"Kottayam","14320","13919","401","0"
"Idukki","7497","7338","159","10"
"Ernakulam","17661","17083","578","39"
"Thrissur","11742","11513","229","22"
"Palakkad","21296","21150","146","14"
"Malappuram","9837","9626","211","9"
"Kozhikode","8734","8288","446","16"
"Wayanad","2410","2304","106","20"
"Kannur","4056","3752","304","30"
"Kasaragod","5007","4792","215","15"
"Total","170962","167141","3821","551"
