"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","2112","2065","47","5"
"Kollam","1147","1119","28","13"
"Pathanamthitta","443","415","28","26"
"Alappuzha","283","274","9","1"
"Kottayam","880","764","116","0"
"Idukki","2536","2508","28","2"
"Ernakulam","1854","1766","88","7"
"Thrissur","4527","4497","30","3"
"Palakkad","2746","2728","18","2"
"Malappuram","489","449","40","2"
"Kozhikode","904","795","109","2"
"Wayanad","186","169","17","1"
"Kannur","385","351","34","7"
"Kasaragod","254","173","81","2"
"Total","18746","18073","673","73"
